location,population,total_cases,total_deaths,total_cases_per_population,positive_rate,people_fully_vaccinated,total_boosters,median_age,hosp_patients,gdp_per_capita,diabetes_prevalence,total_deaths_per_population,vaccinations_per_population,boosters_per_population,hosps_per_population
Luxembourg,647601.0,63879.0,780.0,0.0986394400255713,0.023,37868.0,1.0,39.7,122.0,94277.965,4.42,0.0012044453297632338,0.05847427659932582,1.544160679183633e-06,0.00018838760286040324
Cyprus,896007.0,250587.0,749.0,0.27967080614325557,0.0208,629299.0,404293.0,37.3,204.0,32415.132,9.24,0.0008359309692893024,0.7023371469196111,0.45121634094376495,0.00022767679270362844
Portugal,10270857.0,3497313.0,21298.0,0.3405083918508455,0.23,8783540.0,6287012.0,46.2,1111.0,27936.896,9.85,0.002073634167041757,0.8551905649158585,0.6121214617241775,0.00010817013614345911
Australia,26177410.0,4657049.0,6944.0,0.1779033525471007,0.4944,21348489.0,13088177.0,37.9,2818.0,44648.71,5.07,0.00026526688469180105,0.8155309864497672,0.4999798299373391,0.00010765006927728908
United Kingdom,67508936.0,22227349.0,178266.0,0.32925047137463404,0.0326,49903328.0,39604509.0,40.8,6819.0,39753.244,4.28,0.002640628197724817,0.7392107024172326,0.5866558021296617,0.00010100885014689019
Canada,38454328.0,3876564.0,41253.0,0.10080956297038919,0.0882,31407257.0,21484879.0,41.4,3840.0,44017.591,7.37,0.0010727791160464436,0.8167417982183957,0.5587115967804717,9.985872071408972e-05
South Korea,51815808.0,18239044.0,24399.0,0.35199767607599597,0.0656,44302280.0,37640757.0,43.4,488.0,35938.374,6.8,0.00047087946597300964,0.8549954484932475,0.7264338520013043,9.41797530205454e-06
Spain,47558632.0,12551142.0,108443.0,0.2639088104973247,0.3,40539246.0,25272972.0,45.5,6399.0,34272.36,7.17,0.002280195948445279,0.8524056368988915,0.5314066224613021,0.00013454970698063812
Finland,5540745.0,1128767.0,4956.0,0.20372116024108672,0.284,4331885.0,3268811.0,42.8,351.0,40585.721,5.76,0.0008944645530519813,0.7818235634377687,0.5899587510343826,6.334888178394782e-05
Denmark,5882259.0,3149405.0,6421.0,0.5354074004561853,0.1631,4740463.0,3599491.0,42.3,226.0,46682.515,6.41,0.0010915874326512995,0.805891580088534,0.6119232424141814,3.842061357719883e-05
Austria,8939617.0,4330759.0,19859.0,0.4844456982888641,0.0546,6657579.0,5237937.0,44.4,523.0,45436.686,6.35,0.0022214598231669208,0.7447275425781664,0.5859240949584306,5.850362493158264e-05
Bolivia,12224114.0,913874.0,21951.0,0.07475993761183837,0.0726,5997460.0,1636598.0,25.4,160.0,6885.829,6.89,0.001795712965373196,0.49062533284620874,0.13388275011178724,1.3088883169774105e-05
Netherlands,17564020.0,8118358.0,22340.0,0.46221525596076524,0.671,11943601.0,9281504.0,43.2,317.0,48472.545,5.29,0.001271918387703954,0.6800038373903013,0.5284384782071531,1.804826002247777e-05
France,67813000.0,29168275.0,145696.0,0.4301280727884034,0.227,52956955.0,39089674.0,42.0,13876.0,38605.671,4.77,0.002148496600946721,0.7809262973176234,0.5764333387403595,0.00020462153274445903
United States,338289856.0,85135087.0,1004519.0,0.25166313884386765,0.139,223152482.0,123816787.0,38.3,25557.0,54225.446,10.79,0.0029694032563601317,0.6596487539963362,0.36600798044621236,7.55476392410655e-05
Estonia,1326064.0,581850.0,2586.0,0.43877972707199653,0.1254,855115.0,485789.0,42.7,63.0,29481.252,4.02,0.0019501321203199845,0.644851983011378,0.36633903039370647,4.7509019172528625e-05
Slovakia,5643455.0,1792317.0,20133.0,0.31759214878119874,0.103,2577167.0,680666.0,41.2,200.0,30155.152,7.29,0.0035674954438371527,0.4566647558986472,0.12061157571026969,3.543928320505789e-05
Malaysia,33938216.0,4538922.0,35732.0,0.13374073640170125,0.0555,27243517.0,16259672.0,29.9,500.0,26808.164,16.74,0.001052854398710881,0.8027386295142915,0.4790962494905448,1.4732654185476337e-05
Belgium,11655923.0,4198983.0,31863.0,0.3602445726520328,0.26,9156448.0,7653449.0,41.8,940.0,42658.576,4.29,0.0027336316480470915,0.7855618126509587,0.6566145812734007,8.064569403898774e-05
Ireland,5023108.0,1580379.0,7568.0,0.3146217441472491,0.29,4049799.0,3081613.0,38.7,477.0,67335.293,3.28,0.0015066369267791972,0.8062337102845489,0.6134873070616838,9.496112765244147e-05
Switzerland,8740471.0,3705160.0,13313.0,0.4239085056171458,0.407,6001403.0,3789478.0,43.1,598.0,57410.166,5.59,0.0015231444621233799,0.6866223799609884,0.43355535416798474,6.841736560878698e-05
Japan,123951696.0,9173938.0,31077.0,0.07401220230177408,0.1483,102316816.0,78019376.0,48.2,4862.0,39002.223,5.72,0.0002507186347817298,0.8254571684117981,0.6294337110159428,3.922495743825885e-05
Italy,59037472.0,17959329.0,167842.0,0.3042022022894205,0.2053,47922165.0,40965043.0,47.9,5163.0,35220.084,4.78,0.002842974035202591,0.8117245433544309,0.6938820652754237,8.745293158894066e-05
Slovenia,2119843.0,1032789.0,7816.0,0.487200703070935,0.128,1222076.0,656946.0,44.5,47.0,31400.84,7.25,0.0036870655043793337,0.5764936365570469,0.30990313905322237,2.217145326328412e-05
Czechia,10493990.0,4208248.0,40398.0,0.40101505718987723,0.111,6877572.0,4228356.0,43.3,126.0,32605.906,6.82,0.0038496320274747737,0.6553819853077809,0.40293120157347206,1.2006872505119598e-05
Israel,9449000.0,4261650.0,10922.0,0.4510159805270399,0.333,6148931.0,5325516.0,30.6,1241.0,33132.32,6.74,0.0011558895121176844,0.6507493914699968,0.563606307545772,0.00013133664938088686
South Africa,59893884.0,3987979.0,101640.0,0.06658407726571881,0.0726,18998336.0,3399130.0,27.3,1854.0,12294.876,5.52,0.001697001316528412,0.31719993313507605,0.05675253920750907,3.095474656477446e-05
